City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
404,Salinopolis,BR,78.31,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
417,Biloela,AU,82.8,clear sky,-24.4167,150.5,Biloela Silo Motor Inn
420,Cabedelo,BR,79.47,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
421,Kieta,PG,83.64,light rain,-6.2167,155.6333,Uruna Bay Retreat
424,Lakeway,US,76.5,clear sky,30.3638,-97.9796,Lakeway Resort & Spa
427,Batabano,CU,75.72,clear sky,22.7164,-82.2881,
431,Lingao,CN,84.78,broken clouds,19.9103,109.6859,Lingao Ditai Inn
436,Ambilobe,MG,77.31,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
444,Jucurutu,BR,76.71,scattered clouds,-6.0339,-37.0203,Pousada Miike
446,Vanimo,PG,84.27,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
451,Neiafu,TO,81.28,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
454,Faanui,PF,82.47,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
455,Aransas Pass,US,75.22,mist,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
460,Abu Dhabi,AE,82.96,clear sky,24.4667,54.3667,Beach Rotana
461,Lai,TD,83.3,scattered clouds,9.3952,16.2989,
463,Aquiraz,BR,80.69,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
464,Tual,ID,84.22,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
467,Luanda,AO,75.2,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
471,Grand Gaube,MU,77.4,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
479,Nurota,UZ,76.73,overcast clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
480,Riyadh,SA,77.14,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
481,Norsup,VU,83.48,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
484,Nabire,ID,84.11,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
487,Edd,ER,84.4,scattered clouds,13.9297,41.6925,
