City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,Oranjemund,-28.55,16.4333,60.31,85,18,3.02,NA,2022-04-13 00:35:50
156,Sangueya,10.7,-14.3667,72.28,84,99,2.19,GN,2022-04-13 00:35:50
157,Owando,-0.4819,15.8999,74.8,74,60,2.15,CG,2022-04-13 00:35:51
158,Siderno,38.2779,16.302,51.31,68,100,1.79,IT,2022-04-13 00:35:51
159,Richards Bay,-28.783,32.0377,68.11,95,3,7.83,ZA,2022-04-13 00:35:52
160,Bandarbeyla,9.4942,50.8122,78.93,86,15,3.47,SO,2022-04-13 00:35:52
161,Yar-Sale,66.8333,70.8333,34.3,100,100,9.75,RU,2022-04-13 00:35:53
162,Lorengau,-2.0226,147.2712,84.67,68,6,6.71,PG,2022-04-13 00:35:53
163,Ugoofaaru,5.6667,73.0,84.36,69,100,8.46,MV,2022-04-13 00:35:54
164,Ekpoma,6.7421,6.139,71.02,93,100,3.4,NG,2022-04-13 00:35:54
165,Kaeo,-35.1,173.7833,69.33,79,100,11.9,NZ,2022-04-13 00:35:55
166,Muli,2.9167,73.5667,84.49,74,80,16.53,MV,2022-04-13 00:35:55
167,Conchas,-23.0153,-48.0106,70.93,88,100,2.19,BR,2022-04-13 00:35:56
168,Waingapu,-9.6567,120.2641,82.2,66,0,2.46,ID,2022-04-13 00:35:56
169,Kirensk,57.7853,108.1119,30.56,81,14,3.15,RU,2022-04-13 00:35:56
170,Clyde River,70.4692,-68.5914,-1.97,84,100,12.66,CA,2022-04-13 00:35:57
171,Mahbubabad,17.6167,80.0167,79.02,85,100,8.59,IN,2022-04-13 00:35:58
172,Cayenne,4.9333,-52.3333,81.09,1,100,7.0,GF,2022-04-13 00:35:58
173,Eldorado,-23.7869,-54.2836,73.08,93,57,4.61,BR,2022-04-13 00:35:59
174,Port Pirie,-33.1833,138.0167,73.49,30,7,5.79,AU,2022-04-13 00:35:59
175,Sabang,5.8933,95.3214,83.62,70,44,7.74,ID,2022-04-13 00:36:00
176,Ondjiva,-17.0667,15.7333,66.49,81,99,5.14,AO,2022-04-13 00:36:00
177,Payo,-3.7508,103.6372,76.41,88,55,1.03,ID,2022-04-13 00:36:00
178,Dolzhanskaya,46.6311,37.8039,42.58,78,100,24.45,RU,2022-04-13 00:36:01
179,Tura,25.5198,90.2201,73.18,90,23,4.68,IN,2022-04-13 00:36:02
180,Bilibino,68.0546,166.4372,14.77,52,100,3.18,RU,2022-04-13 00:32:20
181,Batala,31.8186,75.2028,71.38,31,39,7.23,IN,2022-04-13 00:36:02
182,Walvis Bay,-22.9575,14.5053,58.08,94,100,2.3,NA,2022-04-13 00:36:03
183,Belfast,54.5833,-5.9333,48.02,93,100,6.91,GB,2022-04-13 00:37:03
184,Geraldton,-28.7667,114.6,64.81,72,0,9.22,AU,2022-04-13 00:37:04
185,Locri,38.2414,16.2623,50.59,71,100,2.89,IT,2022-04-13 00:37:04
186,Sioux Lookout,50.1001,-91.917,37.47,44,100,3.44,CA,2022-04-13 00:33:22
187,Coihaique,-45.5752,-72.0662,48.15,76,75,2.3,CL,2022-04-13 00:37:05
188,Tiksi,71.6872,128.8694,-4.05,95,97,1.83,RU,2022-04-13 00:37:05
189,Sabae,35.9465,136.185,72.66,67,100,5.08,JP,2022-04-13 00:34:52
190,Honningsvag,70.9821,25.9704,29.95,69,100,8.05,NO,2022-04-13 00:37:06
191,Sobolevo,54.4299,31.8996,34.72,98,100,18.61,RU,2022-04-13 00:37:07
192,Saint-Augustin,51.226,-58.6502,25.52,92,82,5.84,CA,2022-04-13 00:37:07
193,Crotone,39.0851,17.1178,53.19,67,100,3.56,IT,2022-04-13 00:37:07
194,Nouakchott,18.0858,-15.9785,67.93,83,100,15.61,MR,2022-04-13 00:37:08
195,Imeni Poliny Osipenko,52.4201,136.4853,29.07,83,99,7.81,RU,2022-04-13 00:37:08
196,Zeya,53.75,127.2667,33.35,49,10,7.4,RU,2022-04-13 00:37:09
197,Svetlaya,46.5389,138.3297,33.78,89,100,7.96,RU,2022-04-13 00:37:09
198,Kyra,49.5776,111.9753,34.54,33,100,3.53,RU,2022-04-13 00:37:10
199,Kayerkan,69.3497,87.7602,33.53,100,100,12.68,RU,2022-04-13 00:37:10
200,Kavaratti,10.5669,72.642,84.78,69,100,6.17,IN,2022-04-13 00:37:11
201,Amuntai,-2.4177,115.2494,82.17,77,67,1.92,ID,2022-04-13 00:37:11
202,Provideniya,64.3833,-173.3,23.36,80,100,22.37,RU,2022-04-13 00:37:12
203,Namie,37.4833,141.0,79.72,55,100,3.6,JP,2022-04-13 00:37:12
204,Digha,21.6833,87.55,81.21,85,32,17.72,IN,2022-04-13 00:37:13
205,Aquiraz,-3.9014,-38.3911,82.18,79,68,7.18,BR,2022-04-13 00:37:13
206,Zorritos,-3.6805,-80.6782,75.49,83,97,4.23,PE,2022-04-13 00:37:14
207,East London,-33.0153,27.9116,68.04,88,98,2.55,ZA,2022-04-13 00:37:14
208,Turukhansk,65.8167,87.9833,32.54,98,100,13.96,RU,2022-04-13 00:37:15
209,Arman,59.7,150.1667,23.31,57,100,6.15,RU,2022-04-13 00:37:15
210,Quelimane,-17.8786,36.8883,78.75,94,0,2.3,MZ,2022-04-13 00:37:16
211,Ilhabela,-23.7781,-45.3581,74.44,93,100,3.76,BR,2022-04-13 00:33:33
212,Juxtlahuaca,17.4294,-99.1467,77.63,60,100,5.66,MX,2022-04-13 00:37:17
213,Gondanglegi,-7.7479,112.0132,81.1,76,99,7.72,ID,2022-04-13 00:37:17
214,Kushiro,42.975,144.3747,41.95,87,75,4.61,JP,2022-04-13 00:37:18
215,Waipawa,-41.4122,175.5153,56.21,65,100,18.79,NZ,2022-04-13 00:37:18
216,Camacha,33.0833,-16.3333,58.42,82,40,17.27,PT,2022-04-13 00:37:19
217,Talnakh,69.4865,88.3972,34.21,97,100,8.16,RU,2022-04-13 00:33:12
218,Ahipara,-35.1667,173.1667,66.16,70,100,15.95,NZ,2022-04-13 00:37:19
219,Lagos,6.5833,3.75,77.32,86,100,2.75,NG,2022-04-13 00:37:20
220,Khandagayty,50.7333,92.05,31.96,62,12,6.44,RU,2022-04-13 00:37:20
221,Broome,42.2506,-75.833,52.09,60,100,2.91,US,2022-04-13 00:37:21
222,Castro,-24.7911,-50.0119,64.22,97,100,4.81,BR,2022-04-13 00:37:21
223,Bodaybo,57.8506,114.1933,26.98,76,61,1.9,RU,2022-04-13 00:37:22
224,Flinders,-34.5833,150.8552,65.48,74,90,8.01,AU,2022-04-13 00:37:22
225,Karratha,-20.7377,116.8463,86.67,28,1,2.64,AU,2022-04-13 00:37:23
226,San Cristobal,7.7669,-72.225,75.38,81,53,2.82,VE,2022-04-13 00:37:23
227,Lata,40.1629,-8.3327,46.72,97,28,0.63,PT,2022-04-13 00:37:24
228,Bukama,-9.2,25.85,67.89,94,65,2.1,CD,2022-04-13 00:37:24
229,Kristiinankaupunki,62.2743,21.376,30.67,87,12,3.87,FI,2022-04-13 00:37:25
230,Spearfish,44.4908,-103.8594,21.88,77,0,5.01,US,2022-04-13 00:35:20
231,Quatre Cocos,-20.2078,57.7625,78.1,80,88,18.99,MU,2022-04-13 00:37:26
232,Verkhoyansk,67.5447,133.385,10.02,87,100,3.98,RU,2022-04-13 00:38:26
233,Mokobeng,-22.9965,27.6678,69.96,56,100,1.63,BW,2022-04-13 00:38:26
234,Tuktoyaktuk,69.4541,-133.0374,21.2,68,40,11.5,CA,2022-04-13 00:38:27
235,Uray,60.1247,64.7758,31.08,94,100,4.94,RU,2022-04-13 00:38:27
236,Xining,36.6167,101.7667,39.24,49,13,3.67,CN,2022-04-13 00:37:33
237,Praia Da Vitoria,38.7333,-27.0667,62.85,82,40,18.32,PT,2022-04-13 00:38:28
238,College,64.8569,-147.8028,44.1,37,20,6.91,US,2022-04-13 00:38:29
239,Narbonne,43.0833,2.8333,54.01,54,100,11.32,FR,2022-04-13 00:38:29
240,Payson,40.0444,-111.7321,33.91,68,100,5.99,US,2022-04-13 00:37:51
241,Coquimbo,-29.9533,-71.3436,60.67,74,43,0.38,CL,2022-04-13 00:38:30
242,Belyy Yar,53.6039,91.3903,28.85,74,0,8.95,RU,2022-04-13 00:38:30
243,Micheweni,-4.9667,39.8333,80.96,77,100,10.13,TZ,2022-04-13 00:38:31
244,Moerai,-22.4333,-151.3333,79.25,75,100,6.02,PF,2022-04-13 00:38:31
245,Chimbote,-9.0853,-78.5783,66.06,87,17,8.48,PE,2022-04-13 00:38:32
246,Inyonga,-6.7167,32.0667,63.34,93,100,3.04,TZ,2022-04-13 00:38:32
247,Upernavik,72.7868,-56.1549,4.96,98,100,8.99,GL,2022-04-13 00:38:33
248,Chicama,-7.8447,-79.1469,63.14,81,41,6.76,PE,2022-04-13 00:38:33
249,Dillon,34.4166,-79.3712,75.54,63,47,7.87,US,2022-04-13 00:36:24
250,Kamaishi,39.2667,141.8833,63.37,62,100,5.66,JP,2022-04-13 00:38:34
251,Guerrero Negro,27.9769,-114.0611,60.53,59,2,25.21,MX,2022-04-13 00:38:35
252,El Alto,-4.2714,-81.2147,71.26,80,59,13.11,PE,2022-04-13 00:38:35
253,Shetpe,44.1667,52.1167,52.38,79,6,10.22,KZ,2022-04-13 00:38:36
254,Okhotsk,59.3833,143.3,22.26,71,44,13.42,RU,2022-04-13 00:38:36
255,Patrocinio,-18.9439,-46.9925,67.42,88,81,1.97,BR,2022-04-13 00:38:37
256,Ancud,-41.8697,-73.8203,49.14,84,100,3.38,CL,2022-04-13 00:38:37
257,Kaitangata,-46.2817,169.8464,58.08,49,22,2.77,NZ,2022-04-13 00:38:38
258,Namibe,-15.1961,12.1522,74.46,81,3,4.03,AO,2022-04-13 00:38:38
259,Narsaq,60.9167,-46.05,43.02,57,100,8.21,GL,2022-04-13 00:38:39
260,Alice Springs,-23.7,133.8833,87.35,23,4,11.5,AU,2022-04-13 00:38:39
261,Kiama,-34.6833,150.8667,66.99,75,96,3.0,AU,2022-04-13 00:38:40
262,Dire Dawa,9.5931,41.8661,72.52,53,6,5.28,ET,2022-04-13 00:38:40
263,Thompson,55.7435,-97.8558,26.76,74,100,12.66,CA,2022-04-13 00:38:41
264,Gobabis,-22.45,18.9667,66.33,42,100,8.59,NA,2022-04-13 00:38:41
265,Acapulco,16.8634,-99.8901,82.22,74,100,9.22,MX,2022-04-13 00:37:38
266,Biak,-0.9131,122.8766,82.6,62,100,3.56,ID,2022-04-13 00:38:42
267,Behbahan,30.5959,50.2417,79.02,14,100,4.56,IR,2022-04-13 00:38:43
268,Valparaiso,-33.0393,-71.6273,62.24,51,0,9.22,CL,2022-04-13 00:38:43
269,Klaksvik,62.2266,-6.589,43.72,85,86,20.92,FO,2022-04-13 00:38:44
270,Longyearbyen,78.2186,15.6401,15.64,86,75,0.0,SJ,2022-04-13 00:38:44
271,Saurimo,-9.6608,20.3916,64.42,90,93,4.27,AO,2022-04-13 00:38:45
272,Victoria,22.2855,114.1577,81.18,85,12,4.0,HK,2022-04-13 00:38:02
273,Ojinaga,29.5667,-104.4167,91.42,15,0,6.91,MX,2022-04-13 00:38:29
