City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
313,Santos Dumont,BR,-21.4567,-43.5525,54.1,97,14,3.24,few clouds
314,Mancora,PE,-4.1078,-81.0475,75.15,69,62,4.16,broken clouds
315,Cherskiy,RU,68.75,161.3,21.2,92,100,9.31,overcast clouds
316,Westport,US,41.1415,-73.3579,58.28,54,0,21.85,clear sky
317,Maunabo,PR,18.0072,-65.8993,78.64,79,58,14.16,broken clouds
318,Ljungby,SE,56.8332,13.9408,25.21,80,76,3.33,broken clouds
319,Chicama,PE,-7.8447,-79.1469,61.34,82,59,7.31,broken clouds
320,Mayo,US,38.8876,-76.5119,61.27,51,0,16.11,clear sky
321,Ladozhskaya,RU,45.3081,39.935,44.15,87,8,3.4,clear sky
322,Tilichiki,RU,60.4667,166.1,30.88,81,100,15.1,overcast clouds
323,Oudtshoorn,ZA,-33.5907,22.2014,48.56,80,45,1.36,scattered clouds
324,Vardo,NO,70.3705,31.1107,36.0,91,100,19.55,overcast clouds
325,Rundu,NA,-17.9333,19.7667,63.27,84,100,1.12,overcast clouds
326,Vao,NC,-22.6667,167.4833,77.0,75,25,10.74,scattered clouds
327,Sakakah,SA,29.9697,40.2064,65.77,23,39,2.93,scattered clouds
328,Isabela,PH,6.7085,121.9711,86.05,69,65,4.65,broken clouds
329,Kulu,TR,39.0951,33.0799,46.54,63,1,1.48,clear sky
330,Manokwari,ID,-0.8667,134.0833,83.91,70,81,6.08,broken clouds
331,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.38,99,34,1.01,scattered clouds
332,Tomatlan,MX,19.9333,-105.25,68.72,82,95,1.07,overcast clouds
333,Nemuro,JP,43.3236,145.575,34.05,81,100,14.97,overcast clouds
334,Broken Hill,AU,-31.95,141.4333,80.31,24,0,9.22,clear sky
335,Qaqortoq,GL,60.7167,-46.0333,26.19,75,65,0.63,broken clouds
336,Diffa,NE,13.3154,12.6113,82.2,40,77,8.75,broken clouds
337,Koygorodok,RU,60.445,50.9968,27.3,82,100,9.86,overcast clouds
338,Juan Lacaze,UY,-34.4342,-57.4381,56.12,87,0,11.36,clear sky
339,Pangnirtung,CA,66.1451,-65.7125,-4.95,86,4,6.71,clear sky
340,Kushima,JP,31.4583,131.2333,66.9,44,95,7.23,overcast clouds
341,Gold Coast,AU,-28.0,153.4333,77.45,79,75,11.5,broken clouds
342,Keflavik,IS,64.0049,-22.5624,46.83,93,100,36.82,light intensity drizzle
343,Kyabe,TD,9.4515,18.9449,82.99,51,98,10.92,overcast clouds
344,Alice Springs,AU,-23.7,133.8833,94.55,16,29,10.36,scattered clouds
